order_id,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category
6016,Order Finished,Skye Norling,2012-01-20,19,416560,0.07,29159,Office Supplies,Paper
6116,Order Finished,Barry Weirich,2009-03-20,6,19241640,0.04,769666,Office Supplies,"Scissors, Rulers & Trimmers"
6182,Order Finished,Grant Carroll,2012-07-21,40,510960,0.04,20438,Office Supplies,Paper
6535,Order Finished,Adrian Hane,2012-06-12,11,624720,0.07,43730,Office Supplies,Pens & Art Supplies
6884,Order Finished,Skye Norling,2009-01-15,41,434000,0.01,4340,Office Supplies,Paper
6916,Order Finished,Andrew Gjertsen,2010-06-04,40,872340,0.08,69787,Office Supplies,Storage & Organization
6980,Order Finished,Ralph Knight,2010-02-18,18,272580,0.05,13629,Office Supplies,Binders & Binder Accessories
6982,Order Finished,Dorothy Wardle,2011-11-16,32,2622500,0.0,0,Technology,Computer Peripherals
7110,Order Finished,Grant Carroll,2011-08-07,22,12792400,0.02,255848,Furniture,Chairs & Chairmats
7430,Order Finished,Barry Weirich,2010-06-08,50,1503540,0.05,75177,Office Supplies,Envelopes
7906,Order Finished,Beth Paige,2009-10-17,37,2006120,0.03,60184,Office Supplies,Appliances
8391,Order Finished,Sylvia Foulston,2011-08-28,4,2533440,0.04,101338,Furniture,Chairs & Chairmats
8419,Order Finished,Nicole Hansen,2011-09-29,19,736080,0.07,51526,Office Supplies,Paper
8833,Order Finished,Nicole Hansen,2012-05-04,40,6677960,0.0,0,Office Supplies,Storage & Organization
8995,Order Finished,Beth Paige,2011-05-17,5,48320,0.08,3866,Office Supplies,Binders & Binder Accessories
9126,Order Finished,Sylvia Foulston,2009-11-17,47,5599400,0.04,223976,Office Supplies,Appliances
9127,Order Finished,Bryan Davis,2011-10-10,7,4079120,0.04,163165,Office Supplies,Storage & Organization
9509,Order Finished,Joy Bell,2012-10-07,36,24351640,0.02,487033,Furniture,Chairs & Chairmats
9763,Order Finished,Alan Barnes,2011-08-13,44,352520,0.07,24676,Office Supplies,Labels
9927,Order Returned,Grant Carroll,2011-08-16,32,9310140,0.0,0,Furniture,Bookcases
10022,Order Finished,Delfina Latchford,2009-03-04,1,24360,0.06,1462,Office Supplies,Paper
10437,Order Finished,Don Jones,2009-08-18,50,1641040,0.01,16410,Office Supplies,Binders & Binder Accessories
10499,Order Finished,Doug Bickford,2010-11-16,29,12501872,0.01,125019,Furniture,Tables
10535,Order Finished,Doug Bickford,2011-05-27,25,1709760,0.09,153878,Furniture,Office Furnishings
10789,Order Finished,Jamie Kunitz,2010-08-23,15,617080,0.0,0,Office Supplies,Pens & Art Supplies
10791,Order Finished,Anthony Johnson,2011-08-19,20,801140,0.05,40057,Office Supplies,Paper
10945,Order Finished,Ralph Knight,2012-01-03,14,2340050,0.04,93602,Technology,Telephones & Communication
11137,Order Finished,Allen Rosenblatt,2012-11-29,48,10377720,0.1,1037772,Office Supplies,Storage & Organization
11202,Order Finished,Barry Weirich,2012-03-17,8,679620,0.05,33981,Office Supplies,Binders & Binder Accessories
11456,Order Finished,Doug Bickford,2010-04-12,15,3039800,0.09,273582,Furniture,Office Furnishings
11460,Order Finished,Carl Jackson,2010-08-24,30,204480,0.09,18403,Office Supplies,Labels
11495,Order Finished,Brendan Dodson,2011-07-04,6,1931380,0.0,0,Furniture,Tables
11911,Order Returned,Edward Hooks,2010-11-10,25,795680,0.0,0,Office Supplies,Binders & Binder Accessories
11941,Order Finished,Jamie Kunitz,2010-06-24,4,146140,0.08,11691,Office Supplies,Storage & Organization
12096,Order Returned,Michelle Lonsdale,2012-09-19,46,16019185,0.02,320384,Technology,Telephones & Communication
12289,Order Finished,Brendan Dodson,2011-12-24,25,6038820,0.04,241553,Technology,Office Machines
12352,Order Finished,Hunter Glantz,2012-03-23,5,73720,0.07,5160,Office Supplies,Binders & Binder Accessories
12419,Order Finished,Sylvia Foulston,2011-10-15,12,44158940,0.06,2649536,Technology,Office Machines
12485,Order Finished,Eugene Barchas,2010-08-07,24,10814620,0.04,432585,Furniture,Chairs & Chairmats
12544,Order Finished,Jim Radford,2009-03-03,34,148600,0.08,11888,Furniture,Office Furnishings
12704,Order Returned,Carlos Soltero,2010-02-09,44,43013540,0.06,2580812,Technology,Copiers & Fax
12771,Order Finished,Carlos Soltero,2009-01-17,40,2286980,0.08,182958,Office Supplies,Labels
12929,Order Finished,Jim Radford,2010-08-30,19,10594940,0.02,211899,Furniture,Chairs & Chairmats
13280,Order Finished,Grant Carroll,2009-09-11,40,921360,0.01,9214,Office Supplies,Storage & Organization
13313,Order Finished,Skye Norling,2009-07-16,47,2041220,0.04,81649,Office Supplies,Appliances
13346,Order Finished,Doug Bickford,2012-11-15,44,536680,0.09,48301,Office Supplies,Paper
13702,Order Finished,Grant Carroll,2011-09-10,6,418000,0.08,33440,Office Supplies,Paper
13795,Order Finished,Muhammed Mac Intyre,2011-04-10,30,1002640,0.04,40106,Office Supplies,Binders & Binder Accessories
14116,Order Finished,Doug Bickford,2011-10-09,1,80200,0.09,7218,Office Supplies,Binders & Binder Accessories
14372,Order Finished,Beth Thompson,2012-10-23,34,10701220,0.09,963110,Furniture,Bookcases
14726,Order Finished,Ralph Knight,2012-01-08,15,621740,0.07,43522,Technology,Computer Peripherals
14819,Order Finished,Carl Jackson,2010-01-25,48,18125460,0.09,1631291,Office Supplies,Appliances
15106,Order Returned,Dorothy Badders,2011-01-27,42,567160,0.03,17015,Furniture,Office Furnishings
15108,Order Finished,Delfina Latchford,2009-08-27,50,4132320,0.02,82646,Office Supplies,Paper
15205,Order Finished,Julia West,2011-03-17,18,9210720,0.02,184214,Furniture,Chairs & Chairmats
15591,Order Finished,Brad Eason,2012-06-06,31,852680,0.0,0,Furniture,Office Furnishings
15907,Order Finished,Thomas Seio,2011-04-11,36,3674880,0.01,36749,Furniture,Bookcases
15937,Order Finished,Monica Federle,2012-11-06,32,622880,0.04,24915,Technology,Computer Peripherals
16039,Order Finished,Michelle Lonsdale,2012-05-16,3,242240,0.1,24224,Technology,Computer Peripherals
16193,Order Finished,Frank Price,2012-04-09,8,600400,0.0,0,Office Supplies,Storage & Organization
16423,Order Finished,Bryan Davis,2012-08-05,19,256420,0.05,12821,Office Supplies,Paper
16451,Order Finished,Don Jones,2009-07-22,9,505580,0.09,45502,Office Supplies,Binders & Binder Accessories
16545,Order Finished,Carlos Soltero,2010-05-09,10,101940,0.09,9175,Office Supplies,Pens & Art Supplies
16547,Order Finished,Nicole Hansen,2009-02-18,30,21109260,0.09,1899833,Furniture,Chairs & Chairmats
16706,Order Finished,Beth Thompson,2012-06-27,47,3887440,0.03,116623,Furniture,Office Furnishings
16741,Order Finished,Nicole Hansen,2010-09-30,6,315940,0.01,3159,Office Supplies,Paper
16932,Order Finished,Carlos Soltero,2010-04-15,25,289680,0.09,26071,Office Supplies,Paper
17283,Order Finished,Dorothy Badders,2011-09-14,4,10944240,0.06,656654,Technology,Office Machines
17286,Order Finished,Muhammed Mac Intyre,2010-09-21,7,3621340,0.09,325921,Furniture,Chairs & Chairmats
17409,Order Finished,Muhammed Mac Intyre,2010-08-17,31,1267120,0.09,114041,Technology,Computer Peripherals
17764,Order Finished,Don Miller,2009-09-16,27,1288800,0.04,51552,Office Supplies,Paper
18080,Order Finished,Sylvia Foulston,2009-06-22,7,2423960,0.1,242396,Furniture,Chairs & Chairmats
18113,Order Finished,Becky Castell,2012-08-28,27,6632160,0.08,530573,Furniture,Chairs & Chairmats
18144,Order Finished,Dorothy Wardle,2011-06-07,48,414160,0.09,37274,Office Supplies,Paper
18308,Order Finished,Ann Chong,2009-10-09,30,228240,0.05,11412,Office Supplies,Binders & Binder Accessories
18887,Order Finished,Clay Rozendal,2010-12-05,9,346834,0.0,0,Technology,Telephones & Communication
19010,Order Returned,Grant Carroll,2009-06-07,18,47585860,0.0,0,Office Supplies,Binders & Binder Accessories
19078,Order Returned,Brendan Dodson,2009-07-27,21,512240,0.03,15367,Office Supplies,Appliances
19138,Order Returned,Carlos Daly,2011-09-05,30,774000,0.01,7740,Office Supplies,Storage & Organization
19655,Order Finished,Alan Barnes,2009-01-11,31,2286900,0.06,137214,Technology,Computer Peripherals
19686,Order Finished,Alan Barnes,2010-08-15,2,84620,0.06,5077,Technology,Office Machines
20007,Order Finished,Nicole Hansen,2009-08-05,49,165220,0.08,13218,Office Supplies,Pens & Art Supplies
20071,Order Finished,Cari Schnelling,2011-09-17,31,1579880,0.1,157988,Furniture,Chairs & Chairmats
20160,Order Finished,Chad Cunningham,2011-10-22,42,870480,0.08,69638,Office Supplies,Paper
20263,Order Finished,Bryan Mills,2009-11-14,8,947400,0.05,47370,Office Supplies,Binders & Binder Accessories
21285,Order Finished,Adrian Hane,2010-07-03,32,109560,0.02,2191,Office Supplies,Pens & Art Supplies
21383,Order Returned,Rick Reed,2009-01-30,31,32133700,0.07,2249359,Technology,Office Machines
21607,Order Finished,Heather Kirkland,2012-03-15,17,1237800,0.09,111402,Office Supplies,Pens & Art Supplies
21636,Order Finished,Fred Wasserman,2009-08-10,35,3330079,0.02,66602,Technology,Telephones & Communication
21889,Order Finished,Becky Castell,2010-04-01,21,2099580,0.08,167966,Furniture,Office Furnishings
22151,Order Finished,Beth Thompson,2010-07-31,49,931660,0.1,93166,Furniture,Office Furnishings
22342,Order Finished,Claudia Miner,2009-05-29,13,483412,0.0,0,Technology,Telephones & Communication
22469,Order Finished,Jack Lebron,2010-10-11,44,551820,0.1,55182,Technology,Telephones & Communication
22501,Order Finished,Alan Barnes,2010-05-18,2,61660,0.04,2466,Office Supplies,Envelopes
22532,Order Finished,Carlos Soltero,2011-02-08,13,243320,0.03,7300,Office Supplies,Binders & Binder Accessories
23264,Order Finished,Clay Rozendal,2010-12-07,16,216840,0.02,4337,Office Supplies,Paper
23488,Order Returned,Julia West,2009-01-06,30,52266780,0.04,2090671,Furniture,Bookcases
23584,Order Finished,Alan Barnes,2012-03-12,14,5342420,0.06,320545,Technology,Office Machines
24007,Order Finished,Joy Bell,2010-08-26,26,1063320,0.08,85066,Technology,Computer Peripherals
24038,Order Finished,Jack Lebron,2011-06-20,38,206140,0.1,20614,Office Supplies,Pens & Art Supplies
24097,Order Finished,Anthony Johnson,2010-08-04,1,34380,0.0,0,Technology,Computer Peripherals
24128,Order Finished,Eugene Barchas,2010-11-23,13,541260,0.1,54126,Office Supplies,Paper
24294,Order Finished,Thomas Seio,2009-08-02,24,9731440,0.03,291943,Technology,Office Machines
24387,Order Finished,Bryan Mills,2011-08-10,23,2006620,0.01,20066,Furniture,Office Furnishings
24515,Order Finished,Eugene Barchas,2010-05-06,41,6102540,0.1,610254,Technology,Office Machines
24743,Order Finished,Sylvia Foulston,2012-06-28,47,19267180,0.06,1156031,Furniture,Chairs & Chairmats
24871,Order Finished,Carl Ludwig,2011-03-23,6,287560,0.04,11502,Furniture,Office Furnishings
25318,Order Finished,Julia West,2011-11-19,22,881840,0.05,44092,Furniture,Office Furnishings
25377,Order Finished,Don Jones,2012-11-26,3,8687020,0.09,781832,Technology,Office Machines
25634,Order Finished,Mike Pelletier,2010-07-29,29,1186640,0.03,35599,Technology,Computer Peripherals
25733,Order Finished,Eugene Barchas,2012-05-12,24,1114460,0.09,100301,Office Supplies,Binders & Binder Accessories
25767,Order Finished,Ann Chong,2012-03-03,7,523760,0.08,41901,Technology,Computer Peripherals
26023,Order Finished,Charles Mc Crossin,2010-08-20,49,241540,0.03,7246,Office Supplies,Rubber Bands
26051,Order Finished,Annie Cyprus,2010-06-27,22,1591480,0.0,0,Furniture,Chairs & Chairmats
26116,Order Finished,Carlos Soltero,2012-10-29,36,1394820,0.04,55793,Office Supplies,Paper
26182,Order Finished,Doug Bickford,2010-01-16,30,9369800,0.01,93698,Furniture,Bookcases
26272,Order Finished,Carlos Daly,2012-06-29,6,1811880,0.04,72475,Furniture,Chairs & Chairmats
26370,Order Finished,Fred Wasserman,2011-08-08,12,540460,0.08,43237,Office Supplies,Paper
26499,Order Finished,Sylvia Foulston,2010-02-21,11,64800,0.05,3240,Office Supplies,Labels
26531,Order Finished,Michelle Lonsdale,2011-06-20,26,9377897,0.0,0,Technology,Telephones & Communication
26567,Order Finished,Sylvia Foulston,2009-09-04,8,101400,0.08,8112,Office Supplies,Binders & Binder Accessories
26854,Order Finished,Charlotte Melton,2009-06-21,1,68220,0.02,1364,Furniture,Office Furnishings
27109,Order Finished,Barry French,2012-02-08,48,1076440,0.01,10764,Technology,Computer Peripherals
27111,Order Finished,Heather Kirkland,2009-03-11,11,2128460,0.06,127708,Technology,Computer Peripherals
27264,Order Finished,Henry Goldwyn,2011-06-04,3,148100,0.02,2962,Furniture,Office Furnishings
27392,Order Finished,Frank Price,2012-03-02,37,11507700,0.0,0,Technology,Office Machines
27553,Order Finished,Jim Radford,2011-08-12,48,36470940,0.03,1094128,Office Supplies,Storage & Organization
27555,Order Finished,Ralph Knight,2009-09-01,32,418840,0.1,41884,Office Supplies,Paper
27680,Order Finished,Delfina Latchford,2010-01-26,32,648800,0.1,64880,Office Supplies,Appliances
27778,Order Finished,Roy Skaria,2011-09-02,1,465340,0.02,9307,Office Supplies,Binders & Binder Accessories
27909,Order Finished,Monica Federle,2012-02-07,1,124520,0.09,11207,Office Supplies,Paper
28003,Order Returned,Charles Mc Crossin,2011-03-19,31,315580,0.09,28402,Office Supplies,Paper
28035,Order Finished,Don Miller,2011-05-08,19,752420,0.03,22573,Office Supplies,Binders & Binder Accessories
28135,Order Finished,Jeremy Lonsdale,2009-09-25,37,3202480,0.08,256198,Office Supplies,Appliances
28165,Order Finished,Grant Carroll,2012-07-09,2,49920,0.05,2496,Office Supplies,Binders & Binder Accessories
28289,Order Finished,Carl Ludwig,2010-01-14,31,333520,0.01,3335,Office Supplies,Paper
28486,Order Finished,Carlos Daly,2009-08-26,2,1622260,0.08,129781,Office Supplies,Storage & Organization
28675,Order Finished,Ralph Knight,2009-10-08,15,1645685,0.1,164569,Technology,Telephones & Communication
28870,Order Finished,Cindy Schnelling,2011-11-10,35,6621891,0.05,331095,Technology,Telephones & Communication
28871,Order Finished,Claudia Miner,2012-04-15,10,110040,0.08,8803,Technology,Computer Peripherals
29030,Order Finished,Roy Skaria,2012-01-02,10,385160,0.05,19258,Office Supplies,Pens & Art Supplies
29095,Order Returned,Delfina Latchford,2011-03-08,40,583340,0.01,5833,Office Supplies,Binders & Binder Accessories
29287,Order Finished,Edward Hooks,2009-07-02,50,562780,0.1,56278,Office Supplies,Binders & Binder Accessories
29510,Order Finished,Don Miller,2011-04-15,22,12247880,0.01,122479,Furniture,Bookcases
29795,Order Finished,Grant Carroll,2011-11-25,49,38650400,0.05,1932520,Office Supplies,Binders & Binder Accessories
29795,Order Cancelled,Grant Carroll,2011-11-25,49,38650400,0.05,1932520,Office Supplies,Binders & Binder Accessories
29861,Order Returned,Brad Eason,2012-04-25,11,70340,0.03,2110,Office Supplies,Labels
30658,Order Finished,Charles Mc Crossin,2011-03-26,35,34775300,0.08,2782024,Technology,Copiers & Fax
30947,Order Finished,Charles Mc Crossin,2010-07-14,17,1383180,0.03,41495,Office Supplies,Binders & Binder Accessories
31077,Order Finished,Bryan Mills,2010-10-23,36,3910153,0.06,234609,Technology,Telephones & Communication
31111,Order Finished,Monica Federle,2009-08-24,27,435860,0.03,13076,Office Supplies,Paper
31169,Order Finished,Michelle Lonsdale,2011-06-09,6,509520,0.06,30571,Furniture,Office Furnishings
31270,Order Finished,Michelle Lonsdale,2012-11-23,21,13613320,0.0,0,Furniture,Chairs & Chairmats
31364,Order Finished,Beth Thompson,2009-05-01,2,1578020,0.07,110461,Office Supplies,Storage & Organization
31393,Order Finished,Cindy Schnelling,2012-05-11,4,195140,0.04,7806,Furniture,Office Furnishings
31492,Order Finished,Nicole Hansen,2010-10-15,26,643360,0.04,25734,Office Supplies,Appliances
31558,Order Finished,Cari Schnelling,2011-07-23,12,7342600,0.04,293704,Office Supplies,Appliances
31618,Order Finished,Roy Skaria,2011-07-11,14,806340,0.02,16127,Office Supplies,Binders & Binder Accessories
31684,Order Finished,Susan Vittorini,2012-09-16,15,179940,0.02,3599,Office Supplies,Paper
31781,Order Finished,Sylvia Foulston,2009-01-16,46,498040,0.1,49804,Office Supplies,Binders & Binder Accessories
31781,Order Cancelled,Sylvia Foulston,2009-01-16,46,498040,0.1,49804,Office Supplies,Binders & Binder Accessories
32193,Order Finished,Chad Cunningham,2010-10-20,4,81440,0.1,8144,Office Supplies,Paper
32229,Order Finished,Carlos Daly,2010-08-30,8,2438380,0.02,48768,Technology,Office Machines
32743,Order Finished,Grant Carroll,2010-05-07,19,7097340,0.01,70973,Office Supplies,Appliances
32806,Order Finished,Julia West,2011-06-21,8,357560,0.02,7151,Furniture,Office Furnishings
33123,Order Finished,Roy Skaria,2010-11-24,41,12091960,0.08,967357,Furniture,Bookcases
33159,Order Finished,Cindy Schnelling,2012-04-27,3,113390,0.01,1134,Technology,Telephones & Communication
33186,Order Finished,Don Jones,2012-08-28,24,2701062,0.01,27011,Technology,Telephones & Communication
33377,Order Finished,Beth Thompson,2011-07-31,20,200800,0.06,12048,Office Supplies,Paper
33444,Order Finished,Alan Barnes,2012-10-06,11,61020,0.09,5492,Office Supplies,Pens & Art Supplies
33703,Order Finished,Carl Ludwig,2010-02-06,4,484720,0.08,38778,Technology,Computer Peripherals
33734,Order Finished,Jamie Kunitz,2011-10-17,13,743880,0.05,37194,Office Supplies,Paper
33888,Order Finished,Heather Kirkland,2009-08-20,31,698860,0.04,27954,Office Supplies,Binders & Binder Accessories
33894,Order Finished,Doug Bickford,2010-06-14,14,281320,0.0,0,Office Supplies,Paper
33922,Order Finished,Carlos Daly,2010-02-27,31,30503000,0.06,1830180,Technology,Office Machines
34177,Order Finished,Toby Braunhardt,2009-08-15,13,68840,0.02,1377,Office Supplies,Labels
34215,Order Finished,Cari Schnelling,2011-05-14,6,71300,0.02,1426,Office Supplies,Binders & Binder Accessories
34246,Order Finished,Thomas Seio,2010-10-07,49,399720,0.03,11992,Office Supplies,Appliances
34631,Order Finished,Brendan Dodson,2009-10-23,5,44120,0.06,2647,Office Supplies,Binders & Binder Accessories
35047,Order Returned,Charlotte Melton,2010-06-09,31,296340,0.0,0,Office Supplies,Rubber Bands
35266,Order Finished,Beth Thompson,2011-01-10,39,434500,0.07,30415,Office Supplies,Pens & Art Supplies
35847,Order Finished,Eugene Barchas,2009-01-30,23,723300,0.08,57864,Technology,Computer Peripherals
36001,Order Finished,Michelle Lonsdale,2011-03-28,45,2077640,0.05,103882,Office Supplies,Binders & Binder Accessories
36134,Order Finished,Grant Carroll,2010-11-22,6,1653947,0.01,16539,Technology,Telephones & Communication
36135,Order Finished,Beth Paige,2011-05-30,33,1998452,0.02,39969,Technology,Telephones & Communication
36644,Order Finished,Dorothy Wardle,2012-05-13,24,4596640,0.06,275798,Technology,Computer Peripherals
36646,Order Finished,Muhammed Mac Intyre,2010-06-08,24,2336300,0.04,93452,Office Supplies,Storage & Organization
36707,Order Returned,Charlotte Melton,2009-11-29,47,363560,0.02,7271,Office Supplies,Rubber Bands
37253,Order Finished,Muhammed Mac Intyre,2012-09-01,46,2368640,0.09,213178,Technology,Computer Peripherals
37541,Order Finished,Claudia Miner,2010-02-26,3,143880,0.01,1439,Technology,Computer Peripherals
37634,Order Finished,Brendan Dodson,2012-05-21,32,736360,0.07,51545,Office Supplies,Storage & Organization
37793,Order Finished,Dorothy Wardle,2009-11-08,16,448940,0.08,35915,Office Supplies,"Scissors, Rulers & Trimmers"
37860,Order Returned,Mike Pelletier,2010-08-27,1,209700,0.07,14679,Furniture,Office Furnishings
38884,Order Finished,Edward Hooks,2012-08-17,47,512000,0.03,15360,Office Supplies,Paper
39364,Order Finished,Jamie Kunitz,2012-11-09,29,5509860,0.06,330592,Furniture,Office Furnishings
39457,Order Finished,Julia West,2011-06-02,40,9684420,0.03,290533,Furniture,Chairs & Chairmats
39683,Order Finished,Jeremy Lonsdale,2011-08-10,31,1231160,0.04,49246,Office Supplies,Binders & Binder Accessories
39846,Order Finished,Cindy Schnelling,2009-02-27,14,142940,0.06,8576,Technology,Computer Peripherals
40036,Order Finished,Heather Kirkland,2010-06-07,10,1136671,0.02,22733,Technology,Telephones & Communication
40067,Order Finished,Alan Barnes,2012-02-17,38,4314617,0.0,0,Technology,Telephones & Communication
40132,Order Returned,Hunter Glantz,2012-02-23,26,2726000,0.04,109040,Furniture,Chairs & Chairmats
40160,Order Returned,Julia West,2009-10-15,23,2808440,0.1,280844,Furniture,Office Furnishings
40518,Order Finished,Carlos Daly,2009-03-13,3,35040,0.05,1752,Office Supplies,Binders & Binder Accessories
40519,Order Cancelled,N UL L,2009-03-13,3,35040,0.05,1752,Office Supplies,Binders & Binder Accessories
40804,Order Finished,Barry French,2010-03-12,36,8547600,0.06,512856,Furniture,Chairs & Chairmats
40902,Order Finished,Susan Vittorini,2009-07-07,25,384360,0.02,7687,Office Supplies,Binders & Binder Accessories
41063,Order Finished,Carl Jackson,2012-11-21,22,967920,0.01,9679,Office Supplies,Pens & Art Supplies
41153,Order Finished,Alan Barnes,2009-03-02,29,1724400,0.1,172440,Technology,Computer Peripherals
41184,Order Finished,Charlotte Melton,2011-09-22,7,240060,0.02,4801,Office Supplies,Storage & Organization
41409,Order Finished,Beth Thompson,2011-07-21,1,37840,0.0,0,Office Supplies,Binders & Binder Accessories
41696,Order Finished,Bryan Mills,2009-07-13,45,474560,0.03,14237,Office Supplies,Appliances
42209,Order Finished,Alan Barnes,2010-03-29,5,649100,0.08,51928,Office Supplies,Appliances
42561,Order Finished,Beth Paige,2010-02-06,15,2125918,0.07,148814,Technology,Telephones & Communication
42564,Order Finished,Mike Pelletier,2012-09-12,35,14937720,0.02,298754,Furniture,Chairs & Chairmats
42695,Order Finished,Delfina Latchford,2010-12-22,12,1420656,0.02,28413,Technology,Telephones & Communication
42981,Order Finished,Susan Vittorini,2009-05-30,4,7021640,0.05,351082,Office Supplies,Binders & Binder Accessories
43109,Order Finished,Dorothy Wardle,2012-12-21,19,563680,0.06,33821,Office Supplies,Binders & Binder Accessories
43203,Order Returned,Susan Vittorini,2012-02-14,32,450320,0.02,9006,Office Supplies,Paper
43236,Order Finished,Jamie Kunitz,2010-07-03,20,410660,0.0,0,Furniture,Office Furnishings
43267,Order Finished,Fred Wasserman,2011-05-16,17,2736280,0.05,136814,Office Supplies,Appliances
43329,Order Finished,Doug Bickford,2010-03-07,42,4951660,0.09,445649,Office Supplies,Appliances
43330,Order Finished,Fred Wasserman,2009-04-27,40,4411517,0.03,132346,Technology,Telephones & Communication
43364,Order Finished,Susan Vittorini,2012-04-07,21,1048400,0.04,41936,Office Supplies,Envelopes
43392,Order Finished,Doug Bickford,2010-12-31,39,13106900,0.03,393207,Office Supplies,Envelopes
43781,Order Finished,Claudia Miner,2010-02-02,45,994280,0.05,49714,Office Supplies,Envelopes
44071,Order Finished,Frank Price,2012-04-15,19,221340,0.08,17707,Office Supplies,Binders & Binder Accessories
44519,Order Finished,Dorothy Wardle,2010-05-19,48,449160,0.03,13475,Office Supplies,Binders & Binder Accessories
44708,Order Finished,Allen Rosenblatt,2009-07-27,15,61360,0.02,1227,Furniture,Office Furnishings
44772,Order Finished,Dorothy Wardle,2009-03-31,1,108154,0.07,7571,Technology,Telephones & Communication
44839,Order Finished,Julia West,2012-06-11,27,1799940,0.09,161995,Furniture,Office Furnishings
45217,Order Finished,Ralph Knight,2010-09-01,40,13579855,0.08,1086388,Technology,Telephones & Communication
